corridor,origin_city,destination_city,has_direct_flight,flight_options_count,flight_nonstop_count,flight_min_duration_hours,flight_median_duration_hours,flight_econ_min_fare_inr,flight_econ_median_fare_inr,has_direct_train,direct_train_services_count,train_types_available,train_min_distance_km,train_median_distance_km
Delhi-Mumbai,Delhi,Mumbai,True,15289,3601,2.0,8.25,2281,5284.0,True,4,"SKr,GR,Raj",1366.0,1371.5
Delhi-Bangalore,Delhi,Bangalore,True,14012,2196,2.5,8.92,3090,4500.0,True,5,"Raj,SF,SKr",2276.0,2383.0
Delhi-Kolkata,Delhi,Kolkata,True,11934,1593,2.08,11.75,2480,5955.0,True,11,"Drnt,Raj,SKr,SF,Exp",1441.0,1453.0
Delhi-Hyderabad,Delhi,Hyderabad,True,9328,1446,1.92,12.0,2022,5761.0,True,4,"Raj,SF,Drnt",1660.0,1665.0
Delhi-Chennai,Delhi,Chennai,True,10780,1254,2.75,11.75,1998,4979.0,True,5,"Drnt,GR,SF,Raj",2176.0,2176.0
Mumbai-Delhi,Mumbai,Delhi,True,14809,3585,1.83,8.0,2336,5445.0,True,4,"SKr,GR,Raj",1366.0,1371.5
Mumbai-Bangalore,Mumbai,Bangalore,True,12885,1636,1.58,10.92,2074,6319.0,False,0,,,
Mumbai-Kolkata,Mumbai,Kolkata,True,12602,933,2.33,11.83,2835,5949.0,True,2,SF,1952.0,2017.0
Mumbai-Hyderabad,Mumbai,Hyderabad,True,10477,773,1.17,12.5,2105,4263.0,True,1,Drnt,773.0,773.0
Mumbai-Chennai,Mumbai,Chennai,True,10130,1092,1.83,11.75,1890,4732.0,False,0,,,
Bangalore-Delhi,Bangalore,Delhi,True,13756,2211,2.58,8.67,2723,4500.0,True,5,"Raj,SKr,SF",2277.0,2365.0
Bangalore-Mumbai,Bangalore,Mumbai,True,12940,1635,1.33,10.67,2150,6191.0,False,0,,,
Bangalore-Kolkata,Bangalore,Kolkata,True,10029,668,2.33,11.92,3026,6271.0,True,2,"Drnt,SF",1946.0,1954.5
Bangalore-Hyderabad,Bangalore,Hyderabad,True,8971,896,1.0,13.17,1694,5782.0,True,3,"Express,Exp,SF",0.0,625.0
Bangalore-Chennai,Bangalore,Chennai,True,6410,480,0.83,13.25,1603,6161.0,True,6,"Shtb,SF",362.0,362.0
Kolkata-Delhi,Kolkata,Delhi,True,10506,1610,2.25,10.83,2994,6461.0,True,10,"Drnt,Raj,SF,SKr,Exp",1446.0,1450.5
Kolkata-Mumbai,Kolkata,Mumbai,True,11467,945,2.58,11.67,3379,6067.0,True,3,SF,1952.0,1952.0
Kolkata-Bangalore,Kolkata,Bangalore,True,9824,786,2.42,12.42,3465,6489.0,True,2,"Drnt,SF",1946.0,1954.5
Kolkata-Hyderabad,Kolkata,Hyderabad,True,7897,455,2.08,12.5,2436,6488.0,True,2,"SF,Exp",1545.0,1568.5
Kolkata-Chennai,Kolkata,Chennai,True,6653,457,2.25,13.42,2966,6489.0,True,2,SF,1662.0,1662.0
Hyderabad-Delhi,Hyderabad,Delhi,True,8507,1408,2.0,10.67,2200,5823.0,True,4,"Raj,SF,Drnt",1660.0,1665.0
Hyderabad-Mumbai,Hyderabad,Mumbai,True,10073,755,1.25,11.33,2250,4660.0,True,1,Drnt,773.0,773.0
Hyderabad-Bangalore,Hyderabad,Bangalore,True,7898,830,0.92,10.75,1755,5441.0,True,3,"SF,Exp,Express",0.0,625.0
Hyderabad-Kolkata,Hyderabad,Kolkata,True,7987,495,1.75,11.58,2056,5960.0,True,2,"SF,Exp",1545.0,1568.5
Hyderabad-Chennai,Hyderabad,Chennai,True,6395,530,1.17,12.08,1543,4674.0,True,3,"SF,Exp",715.0,772.0
Chennai-Delhi,Chennai,Delhi,True,9783,1225,2.42,10.0,2051,5100.0,True,5,"Drnt,Raj,GR,SF",2176.0,2177.0
Chennai-Mumbai,Chennai,Mumbai,True,9338,1092,1.75,11.67,1830,5037.0,False,0,,,
Chennai-Bangalore,Chennai,Bangalore,True,6493,450,0.83,12.58,1443,6161.0,True,6,"SF,Shtb",358.0,362.0
Chennai-Kolkata,Chennai,Kolkata,True,6983,473,2.0,12.5,2359,5937.0,True,2,SF,1662.0,1662.0
Chennai-Hyderabad,Chennai,Hyderabad,True,6103,534,1.0,12.17,1105,4714.0,True,3,"SF,Exp",715.0,772.0
