station_code,station_name,state,railway_zone,address,latitude,longitude,is_valid_coordinate,is_test_dummy_record,metro_cluster
BDHL,Badhal,Rajasthan,NWR,"Kishangarh Renwal, Rajasthan",27.252059,75.451645,True,False,OTHER
XX-BECE,XX-BECE,UNKNOWN,UNKNOWN,,0.0,0.0,False,True,OTHER
XX-BSPY,XX-BSPY,UNKNOWN,UNKNOWN,,0.0,0.0,False,True,OTHER
YY-BPLC,YY-BPLC,UNKNOWN,UNKNOWN,,0.0,0.0,False,True,OTHER
KHH,KICHHA,Uttar Pradesh,NER,"Kichha, Uttar Pradesh",28.913427,79.519746,True,False,OTHER
SRKN,Sherekan,Rajasthan,NWR,"MDR 89, Rajasthan",29.555198,74.434991,True,False,OTHER
BKKA,Bhukarka,Rajasthan,NWR,"Bhukarka, Rajasthan",29.238227,74.751031,True,False,OTHER
NHR,Nohar,Rajasthan,NWR,"State Highway 36, Rajasthan",29.192563,74.773628,True,False,OTHER
PRGD,Perungudi,Tamil Nadu,SR,"Chennai, Tamil Nadu",12.975217,80.231363,True,False,Chennai
KNNA,Khinaniyan,Haryana,NWR,"State Highway 23, Haryana",29.345637,74.717957,True,False,OTHER
JKR,JAULKHERA,UNKNOWN,UNKNOWN,,21.838466,78.216684,True,False,OTHER
BYS,BARSALI,UNKNOWN,UNKNOWN,,21.909813,78.031361,True,False,OTHER
GW,GIRWAR,UNKNOWN,UNKNOWN,,23.838186,78.936311,True,False,OTHER
DGD,DANGIDHAR,UNKNOWN,UNKNOWN,,23.871771,79.019912,True,False,OTHER
DOD,DHODHAR,Madhya Pradesh,WR,"Dhodar, Madhya Pradesh",23.770741,75.103546,True,False,OTHER
GAJ,GANESHGANJ,UNKNOWN,UNKNOWN,,23.895862,79.074633,True,False,OTHER
JNM,Jayanagar Majilpur Halt,West Bengal,ER,"Jaynagar, West Bengal",22.168635,88.415324,True,False,OTHER
NSD,NASIRABAD,Rajasthan,NWR,"Nasirabad, Rajasthan",26.29446,74.716991,True,False,OTHER
PHA,PATHARIA,UNKNOWN,UNKNOWN,,23.905726,79.192899,True,False,OTHER
NZB,NIZAMABAD,Andhra Pradesh,SCR,"Nizamabad, Andhra Pradesh",18.679165,78.103238,True,False,OTHER
RJO,RAJENDRA PUL,UNKNOWN,UNKNOWN,,25.387447,86.010546,True,False,OTHER
ADT,ADUTURAI,Tamil Nadu,SR,"Aduthurai, Tamil Nadu",11.009165,79.478668,True,False,OTHER
