subdivision,year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,annual_rainfall_mm,ANNUAL_COMPUTED,monsoon_jjas_rainfall_mm,monsoon_intensity_ratio,baseline_normal_annual_rainfall_mm,baseline_normal_monsoon_rainfall_mm,baseline_monsoon_intensity_ratio
ANDAMAN & NICOBAR ISLANDS,1901,49.2,87.1,29.2,2.3,528.8,517.5,365.1,481.1,332.6,388.5,558.2,33.6,3373.2,3373.1999999999994,1696.3000000000002,0.5029,2820.286666666667,1640.4833333333333,0.5836166666666667
ANDAMAN & NICOBAR ISLANDS,1902,0.0,159.8,12.2,0.0,446.1,537.1,228.9,753.7,666.2,197.2,359.0,160.5,3520.7,3520.7,2185.9,0.6209,2820.286666666667,1640.4833333333333,0.5836166666666667
ANDAMAN & NICOBAR ISLANDS,1903,12.7,144.0,0.0,1.0,235.1,479.9,728.4,326.7,339.0,181.2,284.4,225.0,2957.4,2957.4,1874.0,0.6337,2820.286666666667,1640.4833333333333,0.5836166666666667
ANDAMAN & NICOBAR ISLANDS,1904,9.4,14.7,0.0,202.4,304.5,495.1,502.0,160.1,820.4,222.2,308.7,40.1,3079.6,3079.5999999999995,1977.6,0.6422,2820.286666666667,1640.4833333333333,0.5836166666666667
ANDAMAN & NICOBAR ISLANDS,1905,1.3,0.0,3.3,26.9,279.5,628.7,368.7,330.5,297.0,260.7,25.4,344.7,2566.7,2566.7,1624.9,0.6331,2820.286666666667,1640.4833333333333,0.5836166666666667
ANDAMAN & NICOBAR ISLANDS,1906,36.6,0.0,0.0,0.0,556.1,733.3,247.7,320.5,164.3,267.8,128.9,79.2,2534.4,2534.4,1465.8,0.5784,2820.286666666667,1640.4833333333333,0.5836166666666667
ANDAMAN & NICOBAR ISLANDS,1907,110.7,0.0,113.3,21.6,616.3,305.2,443.9,377.6,200.4,264.4,648.9,245.6,3347.9,3347.9,1327.1,0.3964,2820.286666666667,1640.4833333333333,0.5836166666666667
ANDAMAN & NICOBAR ISLANDS,1908,20.9,85.1,0.0,29.0,562.0,693.6,481.4,699.9,428.8,170.7,208.1,196.9,3576.4,3576.4,2303.7000000000003,0.6441,2820.286666666667,1640.4833333333333,0.5836166666666667
ANDAMAN & NICOBAR ISLANDS,1910,26.6,22.7,206.3,89.3,224.5,472.7,264.3,337.4,626.6,208.2,267.3,153.5,2899.4,2899.4,1701.0,0.5867,2820.286666666667,1640.4833333333333,0.5836166666666667
ANDAMAN & NICOBAR ISLANDS,1911,0.0,8.4,0.0,122.5,327.3,649.0,253.0,187.1,464.5,333.8,94.5,247.1,2687.2,2687.2,1553.6,0.5781,2820.286666666667,1640.4833333333333,0.5836166666666667
ANDAMAN & NICOBAR ISLANDS,1912,583.7,0.8,0.0,21.9,140.7,549.8,468.9,370.3,386.2,318.7,117.2,2.3,2960.5,2960.4999999999995,1775.2,0.5996,2820.286666666667,1640.4833333333333,0.5836166666666667
ANDAMAN & NICOBAR ISLANDS,1913,84.8,0.5,1.3,2.5,190.7,530.0,280.8,205.8,580.1,288.8,133.0,67.5,2365.8,2365.8,1596.6999999999998,0.6749,2820.286666666667,1640.4833333333333,0.5836166666666667
ANDAMAN & NICOBAR ISLANDS,1914,0.0,0.0,0.0,37.7,298.8,383.3,792.8,520.5,310.8,139.8,184.4,289.7,2957.8,2957.8,2007.3999999999999,0.6787,2820.286666666667,1640.4833333333333,0.5836166666666667
ANDAMAN & NICOBAR ISLANDS,1915,45.0,56.7,33.3,40.9,170.2,334.7,269.0,317.2,429.8,468.1,258.4,318.0,2741.3,2741.3,1350.7,0.4927,2820.286666666667,1640.4833333333333,0.5836166666666667
