station_code_raw,station_name,mean_delay_minutes,pct_right_time_0_15m,pct_slight_delay_15_60m,pct_severe_delay_over_60m,pct_cancelled_unknown,train_number,canonical_station_code,p_on_time,p_slight_delay,p_severe_delay,p_cancelled,delay_risk_category,is_high_transfer_risk
KOAA,KOLKATA ,7,94.23,1.92,3.85,0.0,02501,KOAA,0.9423,0.0192,0.0385,0.0,ON_TIME_RELIABLE,0
BDC,BANDEL JN ,11,90.38,5.77,3.85,0.0,02501,BDC,0.9038,0.0577,0.0385,0.0,ON_TIME_RELIABLE,0
NDAE,NABADWIP DHAM ,22,61.54,34.62,3.85,0.0,02501,NDAE,0.6154,0.3462,0.0385,0.0,MODERATE_DELAY,0
KWAE,KATWA ,19,69.23,25.0,5.77,0.0,02501,KWAE,0.6923,0.25,0.0577,0.0,MODERATE_DELAY,0
AZ,AZIMGANJ JN ,14,86.54,7.69,5.77,0.0,02501,AZ,0.8654,0.0769,0.0577,0.0,ON_TIME_RELIABLE,0
JRLE,JANGIPUR ROAD ,19,59.62,32.69,5.77,1.92,02501,JRLE,0.5962,0.3269,0.0577,0.0192,MODERATE_DELAY,0
MLDT,MALDA TOWN ,73,17.31,34.62,48.08,0.0,02501,MLDT,0.1731,0.3462,0.4808,0.0,SEVERE_DELAY,1
KNE,KISHANGANJ ,131,0.0,15.38,84.62,0.0,02501,KNE,0.0,0.1538,0.8462,0.0,SEVERE_DELAY,1
NJP,NEW JALPAIGURI ,129,3.85,17.31,78.85,0.0,02501,NJP,0.0385,0.1731,0.7885,0.0,SEVERE_DELAY,1
NCB,NEW COOCH BEHAR ,167,0.0,15.38,84.62,0.0,02501,NCB,0.0,0.1538,0.8462,0.0,SEVERE_DELAY,1
NOQ,NEW ALIPURDAUR ,156,1.92,13.46,84.62,0.0,02501,NOQ,0.0192,0.1346,0.8462,0.0,SEVERE_DELAY,1
KOJ,KOKRAJHAR ,175,0.0,11.54,88.46,0.0,02501,KOJ,0.0,0.1154,0.8846,0.0,SEVERE_DELAY,1
NBQ,NEW BONGAIGAON ,166,1.92,11.54,86.54,0.0,02501,NBQ,0.0192,0.1154,0.8654,0.0,SEVERE_DELAY,1
GLPT,GOALPARA TOWN ,169,3.85,7.69,88.46,0.0,02501,GLPT,0.0385,0.0769,0.8846,0.0,SEVERE_DELAY,1
GHY,GUWAHATI ,230,0.0,3.85,96.15,0.0,02501,GHY,0.0,0.0385,0.9615,0.0,SEVERE_DELAY,1
MYD,MANDERDISA ,262,0.0,0.0,100.0,0.0,02501,MYD,0.0,0.0,1.0,0.0,SEVERE_DELAY,1
NHLG,NEW HAFLONG ,262,0.0,3.85,96.15,0.0,02501,NHLG,0.0,0.0385,0.9615,0.0,SEVERE_DELAY,1
BPB,BADARPUR JN ,237,0.0,5.77,94.23,0.0,02501,BPB,0.0,0.0577,0.9423,0.0,SEVERE_DELAY,1
NKMG,NEW KARIMGANJ ,247,0.0,3.85,96.15,0.0,02501,KXJ,0.0,0.0385,0.9615,0.0,SEVERE_DELAY,1
DMR,DHARMANAGAR ,240,1.92,3.85,94.23,0.0,02501,DMR,0.0192,0.0385,0.9423,0.0,SEVERE_DELAY,1
AGTL,AGARTALA ,227,3.85,7.69,88.46,0.0,02501,AGTL,0.0385,0.0769,0.8846,0.0,SEVERE_DELAY,1
AGTL,AGARTALA ,3,96.15,3.85,0.0,0.0,02502,AGTL,0.9615,0.0385,0.0,0.0,ON_TIME_RELIABLE,0
DMR,DHARMANAGAR ,16,50.0,50.0,0.0,0.0,02502,DMR,0.5,0.5,0.0,0.0,MODERATE_DELAY,0
NKMG,NEW KARIMGANJ ,18,57.69,40.38,1.92,0.0,02502,KXJ,0.5769,0.4038,0.0192,0.0,MODERATE_DELAY,0
BPB,BADARPUR JN ,29,30.77,61.54,7.69,0.0,02502,BPB,0.3077,0.6154,0.0769,0.0,MODERATE_DELAY,0
NHLG,NEW HAFLONG ,22,53.85,34.62,11.54,0.0,02502,NHLG,0.5385,0.3462,0.1154,0.0,MODERATE_DELAY,0
MYD,MANDERDISA ,18,65.38,26.92,7.69,0.0,02502,MYD,0.6538,0.2692,0.0769,0.0,MODERATE_DELAY,0
GHY,GUWAHATI ,36,57.69,19.23,23.08,0.0,02502,GHY,0.5769,0.1923,0.2308,0.0,MODERATE_DELAY,0
GLPT,GOALPARA TOWN ,88,0.0,46.15,51.92,1.92,02502,GLPT,0.0,0.4615,0.5192,0.0192,SEVERE_DELAY,1
NBQ,NEW BONGAIGAON ,74,17.31,34.62,48.08,0.0,02502,NBQ,0.1731,0.3462,0.4808,0.0,SEVERE_DELAY,1
KOJ,KOKRAJHAR ,85,9.62,34.62,55.77,0.0,02502,KOJ,0.0962,0.3462,0.5577,0.0,SEVERE_DELAY,1
NOQ,NEW ALIPURDAUR ,98,3.85,34.62,61.54,0.0,02502,NOQ,0.0385,0.3462,0.6154,0.0,SEVERE_DELAY,1
NCB,NEW COOCH BEHAR ,127,0.0,23.08,76.92,0.0,02502,NCB,0.0,0.2308,0.7692,0.0,SEVERE_DELAY,1
NJP,NEW JALPAIGURI ,98,15.38,21.15,63.46,0.0,02502,NJP,0.1538,0.2115,0.6346,0.0,SEVERE_DELAY,1
KNE,KISHANGANJ ,118,11.54,9.62,78.85,0.0,02502,KNE,0.1154,0.0962,0.7885,0.0,SEVERE_DELAY,1
MLDT,MALDA TOWN ,132,13.46,3.85,82.69,0.0,02502,MLDT,0.1346,0.0385,0.8269,0.0,SEVERE_DELAY,1
JRLE,JANGIPUR ROAD ,156,11.54,3.85,84.62,0.0,02502,JRLE,0.1154,0.0385,0.8462,0.0,SEVERE_DELAY,1
AZ,AZIMGANJ JN ,155,13.46,3.85,82.69,0.0,02502,AZ,0.1346,0.0385,0.8269,0.0,SEVERE_DELAY,1
KWAE,KATWA ,157,13.46,3.85,82.69,0.0,02502,KWAE,0.1346,0.0385,0.8269,0.0,SEVERE_DELAY,1
NDAE,NABADWIP DHAM ,162,13.46,1.92,84.62,0.0,02502,NDAE,0.1346,0.0192,0.8462,0.0,SEVERE_DELAY,1
BDC,BANDEL JN ,166,13.46,3.85,82.69,0.0,02502,BDC,0.1346,0.0385,0.8269,0.0,SEVERE_DELAY,1
KOAA,KOLKATA ,165,13.46,5.77,80.77,0.0,02502,KOAA,0.1346,0.0577,0.8077,0.0,SEVERE_DELAY,1
KOAA,KOLKATA ,19,81.13,7.55,11.32,0.0,02517,KOAA,0.8113,0.0755,0.1132,0.0,MODERATE_DELAY,0
BDC,BANDEL JN ,26,71.7,15.09,13.21,0.0,02517,BDC,0.717,0.1509,0.1321,0.0,MODERATE_DELAY,0
NDAE,NABADWIP DHAM ,34,54.72,28.3,16.98,0.0,02517,NDAE,0.5472,0.283,0.1698,0.0,MODERATE_DELAY,0
KWAE,KATWA ,33,64.15,16.98,18.87,0.0,02517,KWAE,0.6415,0.1698,0.1887,0.0,MODERATE_DELAY,0
AZ,AZIMGANJ JN ,25,71.7,9.43,18.87,0.0,02517,AZ,0.717,0.0943,0.1887,0.0,MODERATE_DELAY,0
JRLE,JANGIPUR ROAD ,34,49.06,30.19,20.75,0.0,02517,JRLE,0.4906,0.3019,0.2075,0.0,MODERATE_DELAY,0
MLDT,MALDA TOWN ,75,7.55,52.83,39.62,0.0,02517,MLDT,0.0755,0.5283,0.3962,0.0,SEVERE_DELAY,1
KNE,KISHANGANJ ,140,0.0,7.55,92.45,0.0,02517,KNE,0.0,0.0755,0.9245,0.0,SEVERE_DELAY,1
NJP,NEW JALPAIGURI ,135,5.66,3.77,90.57,0.0,02517,NJP,0.0566,0.0377,0.9057,0.0,SEVERE_DELAY,1
NCB,NEW COOCH BEHAR ,177,1.89,7.55,90.57,0.0,02517,NCB,0.0189,0.0755,0.9057,0.0,SEVERE_DELAY,1
NOQ,NEW ALIPURDAUR ,169,1.89,7.55,90.57,0.0,02517,NOQ,0.0189,0.0755,0.9057,0.0,SEVERE_DELAY,1
KOJ,KOKRAJHAR ,191,3.77,5.66,90.57,0.0,02517,KOJ,0.0377,0.0566,0.9057,0.0,SEVERE_DELAY,1
NBQ,NEW BONGAIGAON ,180,7.55,0.0,92.45,0.0,02517,NBQ,0.0755,0.0,0.9245,0.0,SEVERE_DELAY,1
GLPT,GOALPARA TOWN ,194,5.66,1.89,90.57,1.89,02517,GLPT,0.0566,0.0189,0.9057,0.0189,SEVERE_DELAY,1
GHY,GUWAHATI ,186,3.77,7.55,88.68,0.0,02517,GHY,0.0377,0.0755,0.8868,0.0,SEVERE_DELAY,1
GHY,GUWAHATI ,13,75.0,21.15,3.85,0.0,02518,GHY,0.75,0.2115,0.0385,0.0,ON_TIME_RELIABLE,0
GLPT,GOALPARA TOWN ,57,3.85,65.38,30.77,0.0,02518,GLPT,0.0385,0.6538,0.3077,0.0,SEVERE_DELAY,1
NBQ,NEW BONGAIGAON ,42,23.08,57.69,19.23,0.0,02518,NBQ,0.2308,0.5769,0.1923,0.0,MODERATE_DELAY,0
KOJ,KOKRAJHAR ,50,19.23,53.85,26.92,0.0,02518,KOJ,0.1923,0.5385,0.2692,0.0,SEVERE_DELAY,1
NOQ,NEW ALIPURDAUR ,65,9.62,48.08,42.31,0.0,02518,NOQ,0.0962,0.4808,0.4231,0.0,SEVERE_DELAY,1
NCB,NEW COOCH BEHAR ,95,0.0,30.77,69.23,0.0,02518,NCB,0.0,0.3077,0.6923,0.0,SEVERE_DELAY,1
NJP,NEW JALPAIGURI ,66,23.08,36.54,40.38,0.0,02518,NJP,0.2308,0.3654,0.4038,0.0,SEVERE_DELAY,1
KNE,KISHANGANJ ,94,0.0,46.15,53.85,0.0,02518,KNE,0.0,0.4615,0.5385,0.0,SEVERE_DELAY,1
MLDT,MALDA TOWN ,124,3.85,13.46,82.69,0.0,02518,MLDT,0.0385,0.1346,0.8269,0.0,SEVERE_DELAY,1
JRLE,JANGIPUR ROAD ,146,1.92,7.69,90.38,0.0,02518,JRLE,0.0192,0.0769,0.9038,0.0,SEVERE_DELAY,1
AZ,AZIMGANJ JN ,148,1.92,9.62,88.46,0.0,02518,AZ,0.0192,0.0962,0.8846,0.0,SEVERE_DELAY,1
KWAE,KATWA ,150,3.85,11.54,84.62,0.0,02518,KWAE,0.0385,0.1154,0.8462,0.0,SEVERE_DELAY,1
NDAE,NABADWIP DHAM ,158,3.85,11.54,84.62,0.0,02518,NDAE,0.0385,0.1154,0.8462,0.0,SEVERE_DELAY,1
BDC,BANDEL JN ,160,7.69,7.69,84.62,0.0,02518,BDC,0.0769,0.0769,0.8462,0.0,SEVERE_DELAY,1
KOAA,KOLKATA ,156,7.69,9.62,82.69,0.0,02518,KOAA,0.0769,0.0962,0.8269,0.0,SEVERE_DELAY,1
SCL,SILCHAR ,1,100.0,0.0,0.0,0.0,05639,SCL,1.0,0.0,0.0,0.0,ON_TIME_RELIABLE,0
BPB,BADARPUR JN ,6,86.79,13.21,0.0,0.0,05639,BPB,0.8679,0.1321,0.0,0.0,ON_TIME_RELIABLE,0
NHGJ,NEW HARANGAJAO ,14,66.04,32.08,1.89,0.0,05639,NHGJ,0.6604,0.3208,0.0189,0.0,MODERATE_DELAY,0
