train_number,train_name,train_type,source_code,dest_code,running_days,total_route_distance_km,total_halts
04601,Jammu Tawi Udhampur Special,DEMU,JAT,UHP,"SUN,MON,TUE,WED,THU,FRI,SAT",53,6
04602,UDHAMPUR JAMMUTAWI DMU,DEMU,UHP,JAT,"SUN,MON,TUE,WED,THU,FRI,SAT",53,6
04603,JAT UDAHMPUR DMU,DEMU,JAT,UHP,"SUN,MON,TUE,WED,THU,FRI,SAT",53,6
04604,UDHAMPUR JAMMUTAWI DMU,DEMU,UHP,JAT,"SUN,MON,TUE,WED,THU,FRI,SAT",53,6
04728,Mumbai BandraT-Bikaner SF Special,SF,BDTS,BKN,"SUN,MON,TUE,WED,THU,FRI,SAT",1212,185
04741,Sirsa - Hisar Passenger Special,Pass,SSA,HSR,"SUN,MON,TUE,WED,THU,FRI,SAT",82,8
04742,Hisar - Sirsa Passenger Special,Pass,HSR,SSA,"SUN,MON,TUE,WED,THU,FRI,SAT",82,7
04853,Rewari Degana Merta Special,Pass,DNA,MTD,"SUN,MON,TUE,WED,THU,FRI,SAT",44,6
04854,Degana Merta Special,Pass,MTD,DNA,"SUN,MON,TUE,WED,THU,FRI,SAT",44,6
09022,JAMMU TAWI - BANDRA TERMINUS AC Suvidha Special (Starts 5 April),SF,JAT,BDTS,"SUN,MON,TUE,WED,THU,FRI,SAT",1957,317
11017,Chalukya Express,Exp,DR,YPR,SAT,1205,175
11019,Konark Express,Exp,CSTM,BBS,"SUN,MON,TUE,WED,THU,FRI,SAT",1932,300
11020,Konark Express,Exp,BBS,CSTM,"SUN,MON,TUE,WED,THU,FRI,SAT",1932,300
11023,Sahyadri Express,Exp,CSTM,KOP,"SUN,MON,TUE,WED,THU,FRI,SAT",518,95
11024,Sahyadri Express,Exp,KOP,CSTM,"SUN,MON,TUE,WED,THU,FRI,SAT",518,95
11025,Manmad Pune Express(Via Nasik),Exp,MMR,PUNE,"SUN,MON,TUE,WED,THU,FRI,SAT",364,54
11026,Pune Manmad Express,Exp,PUNE,MMR,"SUN,MON,TUE,WED,THU,FRI,SAT",364,54
11027,Mumbai CST-Chennai Mail,Mail,CSTM,MAS,"SUN,MON,FRI",1283,204
11029,Koyna Express,Exp,CSTM,KOP,"SUN,MON,TUE,WED,THU,FRI,SAT",518,95
11030,Koyna Express,Exp,KOP,CSTM,"SUN,MON,TUE,WED,THU,FRI,SAT",518,95
11033,PUNE - DARBHANGA Gyan Ganga Exp,Exp,PUNE,DBG,WED,1948,272
11035,Dadar-Mysore Sharavati Express,Exp,DR,MYS,THU,1212,157
11036,Mysore-Dadar Sharavati Express,Exp,MYS,DR,SUN,1212,157
11037,PUNE - GORAKHPUR Exp,Exp,PUNE,GKP,THU,1771,233
11038,GORAKHPUR - PUNE Exp,Exp,GKP,PUNE,SAT,1771,233
11039,Maharashtra Express,Exp,KOP,G,"SUN,MON,TUE,WED,THU,FRI,SAT",1346,158
11039-Slip,Kolhapur-Gorakhpur Express Slip,Exp,KOP,GKP,"SUN,MON,TUE,WED,THU,FRI,SAT",2107,247
11040,Maharashtra Express,Exp,G,KOP,"SUN,MON,TUE,WED,THU,FRI,SAT",1346,158
11040-Slip,Gondia-Solapur Maharashtra Express Slip,Exp,G,SUR,"SUN,MON,TUE,WED,THU,FRI,SAT",1132,129
11041,Mumbai - Chennai Express,Exp,CSTM,MAS,"TUE,WED,THU,SAT",1283,203
11043,MUMBAI LTT - MADURAI Exp,Exp,LTT,MDU,FRI,1702,263
11044,MADURAI - MUMBAI LTT Exp,Exp,MDU,LTT,SAT,1702,263
11045,KOLHAPUR CSMT - DHANBAD Deekshabhoomi Exp,Exp,KOP,DHN,FRI,2968,376
11047,Hubli Express,Exp,MRJ,UBL,"SUN,MON,TUE,WED,THU,FRI,SAT",279,34
11048,Hubli Miraj Express,Exp,UBL,MRJ,"SUN,MON,TUE,WED,THU,FRI,SAT",279,34
11049,Ahmedabad-Kolhapur Express,Exp,ADI,KOP,SUN,961,153
11050,Kolhapur-Ahmedabad Express,Exp,KOP,ADI,SAT,961,153
11051,Solapur-Kolhapur Express,Exp,SUR,KOP,"SUN,MON,TUE,WED,THU,FRI,SAT",315,37
11052,Kolhapur Solapur Express,Exp,KOP,SUR,"SUN,MON,TUE,WED,THU,FRI,SAT",315,37
11056,GORAKHPUR - MUMBAI LTT Exp,Exp,GKP,LTT,"SUN,TUE,WED,FRI",1733,236
11057,Dadar Amritsar Express,Exp,DR,ASR,"SUN,MON,TUE,WED,THU,FRI,SAT",2037,271
11057-Slip,Dadar Amritsar Express Slip,Exp,DR,DHI,"SUN,MON,TUE,WED,THU,FRI,SAT",375,60
11058,Amritsar Dadar Express,Exp,ASR,DR,"SUN,MON,TUE,WED,THU,FRI,SAT",2037,271
11059,MUMBAI LTT - CHHAPRA Godan Exp,Exp,LTT,CPR,"TUE,THU,SAT",1772,248
11060,CHHAPRA - MUMBAI LTT Godan Exp,Exp,CPR,LTT,"MON,THU,SAT",1772,248
11062,DARBHANGA - MUMBAI LTT Pawan Exp,Exp,DBG,LTT,"SUN,MON,TUE,WED,THU,FRI,SAT",1791,278
56305,Kottayam Kollam Passenger,Pass,KTYM,QLN,"SUN,MON,TUE,WED,THU,FRI,SAT",96,14
58651,Ranchi Lohardaga Passenger,Pass,RNC,LAD,"SUN,MON,TUE,WED,THU,FRI,SAT",67,10
04858,Jodhpur Pipar Road Passenger Special,Pass,JU,PPR,"SUN,MON,TUE,WED,THU,FRI,SAT",46,7
05305,Farrukhabad-KanpurAnwarganj Passenger,Pass,FBD,CPA,"MON,THU",138,24
05306,KanpurAnwarganj-Farrukhabad Special,Exp,CPA,FBD,"WED,SAT",138,24
05650,Kamakhya - Mumbai LTT (Weekly) Special,Exp,KYQ,LTT,"SUN,MON,TUE,WED,THU,FRI,SAT",2613,334
05697,Hill Queen Express,JShtb,LMG,LFG,"SUN,MON,TUE,WED,THU,FRI,SAT",104,12
05698,Hill Queen Express,JShtb,LFG,LMG,"SUN,MON,TUE,WED,THU,FRI,SAT",104,12
06002,Kollam-Chennai Central SF Special,SF,QLN,MAS,"SUN,MON,TUE,WED,THU,FRI,SAT",858,149
06003,Chennai Central-Kollam Special,Exp,MAS,QLN,"SUN,MON,TUE,WED,THU,FRI,SAT",857,149
06004,Kollam-Chennai Central Special,Exp,QLN,MAS,"SUN,MON,TUE,WED,THU,FRI,SAT",857,149
06005,Chennai Central-Kollam SF Special,SF,MAS,QLN,"SUN,MON,TUE,WED,THU,FRI,SAT",857,149
06006,Kollam-Chennai Central SF Special,SF,QLN,MAS,"SUN,MON,TUE,WED,THU,FRI,SAT",857,149
06007,Chennai Central-Kollam SF Special,SF,MAS,QLN,"SUN,MON,TUE,WED,THU,FRI,SAT",858,149
06008,KollamChennai Central SF Special,SF,QLN,MAS,"SUN,MON,TUE,WED,THU,FRI,SAT",858,149
06009,Chennai CentralKollam SF Special,SF,MAS,QLN,"SUN,MON,TUE,WED,THU,FRI,SAT",858,149
06011,Chennai Central Kollam (Weekly) SF Special,SF,MAS,QLN,"SUN,MON,TUE,WED,THU,FRI,SAT",858,149
06201,Mysore-Sainagar Shirdi Special,Exp,MYS,SNSI,"SUN,MON,TUE,WED,THU,FRI,SAT",1304,158
06202,Sainagar Shirdi - Mysore Special,Exp,SNSI,MYS,"SUN,MON,TUE,WED,THU,FRI,SAT",1304,158
06215,Mysore Nanjangud Town passenger,Pass,MYS,NTW,"SUN,MON,TUE,WED,THU,FRI,SAT",25,7
06216,Nanjangud Town Mysore Passenger,Pass,NTW,MYS,"SUN,MON,TUE,WED,THU,FRI,SAT",25,7
06228,Shimoga Mysore Express,Exp,SMET,MYS,"SUN,MON,TUE,WED,THU,FRI,SAT",276,21
06301,Nagercoil-Mangalore Special,Exp,NCJ,MAJN,"SUN,MON,TUE,WED,THU,FRI,SAT",711,133
06302,Mangalore-Nagercoil Special,Exp,MAJN,NCJ,"SUN,MON,TUE,WED,THU,FRI,SAT",711,133
06501,Yesvantpur - Ahmedabad Garib Rath Special,GR,YPR,ADI,"SUN,MON,TUE,WED,THU,FRI,SAT",1719,252
06502,Ahmedabad -Yesvantpur Garib Rath Special,GR,ADI,YPR,"SUN,MON,TUE,WED,THU,FRI,SAT",1719,252
06535,Bijapur Express,Exp,YPR,BJP,"MON,TUE,WED,THU,FRI,SAT",712,93
06536,Bijapur-Yesvantpur Special,Exp,BJP,YPR,"MON,TUE,WED,THU,FRI,SAT",712,93
06591,Yesvantpur-Hosur Passenger Special,Pass,YPR,HSRA,"MON,TUE,WED,THU,FRI,SAT",67,10
06592,Hosur-Yesvantpur Passenger,Pass,HSRA,YPR,"MON,TUE,WED,THU,FRI,SAT",67,10
06594,Hosur-Yesvantpur Passenger Special,Pass,HSRA,YPR,"MON,TUE,WED,THU,FRI,SAT",67,10
06595,Yesvantpur-Devanhalli Special,Pass,YPR,DHL,"SUN,MON,TUE,WED,THU,FRI,SAT",36,7
06596,Devanahalli-Yesvantpur Special,Pass,DHL,YPR,"SUN,MON,TUE,WED,THU,FRI,SAT",36,7
06617,Coimbatore-Nagercoil Special,Exp,CBE,NCJ,"SUN,MON,TUE,WED,THU,FRI,SAT",497,89
