traveller_id,session_id,alternative_id,persona_type,mode,origin_city,destination_city,departure_window,trip_purpose,party_size,lead_days,chosen,rank,choice_probability,utility,raw_cost,raw_duration,raw_distance,cost_score,time_score,reliability_score,comfort_score,transfer_count,transfer_score,carbon_estimate_kg,carbon_score,departure_fit,source_dataset,source_record_id
T000001,S0000001,S0000001_A1,Cost-Sensitive Commuter,Flight,Chennai,Bangalore,Night,Commute,1,21,1,2,0.30938323290535585,0.83021,4755.0,24.42,267.9,1.0,0.0,0.971,0.8,1,0.5,41.26,1.0,1.0,canonical_flights.parquet,flight_UK-824_196449
T000001,S0000001,S0000001_A2,Cost-Sensitive Commuter,Flight,Chennai,Bangalore,Night,Commute,1,21,0,3,0.15413375191226458,0.65602,25427.0,22.17,267.9,0.1045,0.2212,0.971,0.8,1,0.5,41.26,1.0,1.0,canonical_flights.parquet,flight_AI-538_193998
T000001,S0000001,S0000001_A3,Cost-Sensitive Commuter,Flight,Chennai,Bangalore,Night,Commute,1,21,0,1,0.4528046265036307,0.92543,4755.0,14.25,267.9,1.0,1.0,0.971,0.8,1,0.5,41.26,1.0,1.0,canonical_flights.parquet,flight_UK-824_196352
T000001,S0000001,S0000001_A4,Cost-Sensitive Commuter,Rail,Chennai,Bangalore,Night,Commute,1,21,0,4,0.08367838867874881,0.50331,27839.4,21.72,18780.0,0.0,0.2655,0.7067,0.65,0,1.0,600.96,0.0,1.0,canonical_train_routes.parquet,train_08469_HVM_SBC
T000001,S0000002,S0000002_A1,Cost-Sensitive Commuter,Flight,Hyderabad,Chennai,Night,Commute,1,35,0,4,0.10998806393117495,0.52287,8776.0,11.25,507.8,0.0,0.1217,0.971,0.8,1,0.5,78.2,0.0,1.0,canonical_flights.parquet,flight_UK-876_177105
T000001,S0000002,S0000002_A2,Cost-Sensitive Commuter,Flight,Hyderabad,Chennai,Night,Commute,1,35,0,3,0.13760287926732698,0.57887,6070.0,12.67,507.8,0.31,0.0,0.971,0.8,1,0.5,78.2,0.0,1.0,canonical_flights.parquet,flight_AI-698_177542
T000001,S0000002,S0000002_A3,Cost-Sensitive Commuter,Flight,Hyderabad,Chennai,Night,Commute,1,35,1,2,0.22811544765986466,0.70524,1776.0,10.33,507.8,0.802,0.2005,0.971,0.8,1,0.5,78.2,0.0,1.0,canonical_flights.parquet,flight_I5-974_178434
T000001,S0000002,S0000002_A4,Cost-Sensitive Commuter,Rail,Hyderabad,Chennai,Night,Commute,1,35,0,1,0.5242936091416334,0.91329,47.66,1.0,1.8,1.0,1.0,0.8221,0.65,0,1.0,0.06,1.0,1.0,canonical_train_routes.parquet,train_16128_MSC_MS
T000001,S0000003,S0000003_A1,Cost-Sensitive Commuter,Flight,Delhi,Kolkata,Early Morning,Commute,1,23,0,3,0.16968925034016402,0.60651,11533.0,14.83,1312.4,0.0,1.0,0.971,0.8,1,0.5,202.11,0.0,1.0,canonical_flights.parquet,flight_AI-469_20283
T000001,S0000003,S0000003_A2,Cost-Sensitive Commuter,Rail,Delhi,Kolkata,Early Morning,Commute,1,23,1,2,0.3415618670116171,0.7814,3327.47,31.13,1495.4,0.7618,0.0,0.909,0.65,0,1.0,47.85,0.9939,1.0,canonical_train_routes.parquet,train_18029_BDI_SHM
T000001,S0000003,S0000003_A3,Cost-Sensitive Commuter,Rail,Delhi,Kolkata,Early Morning,Commute,1,23,0,1,0.4887488826482189,0.87098,762.16,22.83,1465.7,1.0,0.5092,0.8463,0.65,0,1.0,46.9,1.0,1.0,canonical_train_routes.parquet,train_12324_NDLS_HWH
T000001,S0000004,S0000004_A1,Cost-Sensitive Commuter,Flight,Mumbai,Hyderabad,Evening,Business,3,16,0,4,0.11206519721375639,0.58214,60365.0,16.83,622.7,0.0,0.5003,0.971,0.95,1,0.5,95.9,0.0,1.0,canonical_flights.parquet,flight_UK-940_239967
T000001,S0000004,S0000004_A2,Cost-Sensitive Commuter,Flight,Mumbai,Hyderabad,Evening,Business,3,16,0,2,0.1937019853377751,0.71895,4359.0,25.42,622.7,0.9332,0.0441,0.971,0.8,1,0.5,95.9,0.0,1.0,canonical_flights.parquet,flight_UK-996_73212
T000001,S0000004,S0000004_A3,Cost-Sensitive Commuter,Flight,Mumbai,Hyderabad,Evening,Business,3,16,0,3,0.18592824503697883,0.70871,6017.0,26.25,622.7,0.9055,0.0,0.971,0.8,1,0.5,95.9,0.0,1.0,canonical_flights.parquet,flight_AI-607_72494
T000001,S0000004,S0000004_A4,Cost-Sensitive Commuter,Rail,Mumbai,Hyderabad,Evening,Business,3,16,1,1,0.5083045724114896,0.96014,347.94,7.42,535.3,1.0,1.0,0.909,0.85,0,1.0,17.13,1.0,1.0,canonical_train_routes.parquet,train_12264_KRLS_SCH
T000002,S0000005,S0000005_A1,Cost-Sensitive Commuter,Flight,Delhi,Mumbai,Afternoon,Commute,1,32,1,2,0.3331083003521875,0.64075,10721.0,6.0,1137.1,0.0,1.0,0.971,0.8,1,0.5,175.11,0.0,1.0,canonical_flights.parquet,flight_6E-2373_1373
T000002,S0000005,S0000005_A2,Cost-Sensitive Commuter,Rail,Delhi,Mumbai,Afternoon,Commute,1,32,0,1,0.6668916996478125,0.81429,200.82,7.73,386.2,1.0,0.0,0.7385,0.65,0,1.0,12.36,1.0,1.0,canonical_train_routes.parquet,train_15646_BDI_LTT
T000002,S0000006,S0000006_A1,Cost-Sensitive Commuter,Flight,Kolkata,Hyderabad,Afternoon,Business,1,29,1,3,0.1466758720703198,0.60516,5456.0,8.58,1207.2,0.0,0.5053,0.971,0.8,1,0.5,185.91,0.0,1.0,canonical_flights.parquet,flight_AI-732_146750
T000002,S0000006,S0000006_A2,Cost-Sensitive Commuter,Rail,Kolkata,Hyderabad,Afternoon,Business,1,29,0,2,0.40486156764403125,0.85899,584.54,10.5,899.3,0.9262,0.0,0.909,0.85,0,1.0,28.78,0.904,1.0,canonical_train_routes.parquet,train_12273_HWH_ASCE
T000002,S0000006,S0000006_A3,Cost-Sensitive Commuter,Rail,Kolkata,Hyderabad,Afternoon,Business,1,29,0,1,0.44846256028564907,0.88456,196.66,6.7,378.2,1.0,1.0,0.7315,0.65,0,1.0,12.1,1.0,1.0,canonical_train_routes.parquet,train_12507_HWH_HCR
T000002,S0000007,S0000007_A1,Cost-Sensitive Commuter,Flight,Kolkata,Bangalore,Afternoon,Family / Personal,1,3,0,3,0.26305221763526676,0.79286,6633.0,17.42,1546.8,0.9227,0.5344,0.971,0.8,1,0.5,238.21,0.0,1.0,canonical_flights.parquet,flight_AI-768_142210
T000002,S0000007,S0000007_A2,Cost-Sensitive Commuter,Flight,Kolkata,Bangalore,Afternoon,Family / Personal,1,3,0,4,0.15637743787784222,0.66284,71058.0,7.33,1546.8,0.0,1.0,0.971,0.95,1,0.5,238.21,0.0,1.0,canonical_flights.parquet,flight_UK-778_269443
