session_id,alternative_id,mode,carrier,service_identifier,service_tier,departure_window,raw_cost,raw_duration,raw_distance,transfer_count,carbon_estimate_kg,p_on_time,p_severe_delay,p_cancelled,source_dataset,source_record_id
S0000001,S0000001_A1,Flight,Vistara,UK-824,Economy,Night,4755.0,24.42,267.9,1,41.26,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-824_196449
S0000001,S0000001_A2,Flight,Air India,AI-538,Economy,Night,25427.0,22.17,267.9,1,41.26,0.88,0.03,0.01,canonical_flights.parquet,flight_AI-538_193998
S0000001,S0000001_A3,Flight,Vistara,UK-824,Economy,Night,4755.0,14.25,267.9,1,41.26,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-824_196352
S0000001,S0000001_A4,Rail,GR,08469,3-Tier AC,Night,27839.4,21.72,18780.0,0,600.96,0.4099,0.4444,0.0603,canonical_train_routes.parquet,train_08469_HVM_SBC
S0000002,S0000002_A1,Flight,Vistara,UK-876,Economy,Night,8776.0,11.25,507.8,1,78.2,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-876_177105
S0000002,S0000002_A2,Flight,Air India,AI-698,Economy,Night,6070.0,12.67,507.8,1,78.2,0.88,0.03,0.01,canonical_flights.parquet,flight_AI-698_177542
S0000002,S0000002_A3,Flight,AirAsia,I5-974,Economy,Night,1776.0,10.33,507.8,1,78.2,0.88,0.03,0.01,canonical_flights.parquet,flight_I5-974_178434
S0000002,S0000002_A4,Rail,Exp,16128,3-Tier AC,Night,47.66,1.0,1.8,0,0.06,0.5289,0.2308,0.0769,canonical_train_routes.parquet,train_16128_MSC_MS
S0000003,S0000003_A1,Flight,Air India,AI-469,Economy,Early Morning,11533.0,14.83,1312.4,1,202.11,0.88,0.03,0.01,canonical_flights.parquet,flight_AI-469_20283
S0000003,S0000003_A2,Rail,Exp,18029,2-Tier AC,Early Morning,3327.47,31.13,1495.4,0,47.85,0.65,0.1,0.03,canonical_train_routes.parquet,train_18029_BDI_SHM
S0000003,S0000003_A3,Rail,SF,12324,Standard Sleeper,Early Morning,762.16,22.83,1465.7,0,46.9,0.6268,0.2328,0.0,canonical_train_routes.parquet,train_12324_NDLS_HWH
S0000004,S0000004_A1,Flight,Vistara,UK-940,Business,Evening,60365.0,16.83,622.7,1,95.9,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-940_239967
S0000004,S0000004_A2,Flight,Vistara,UK-996,Economy,Evening,4359.0,25.42,622.7,1,95.9,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-996_73212
S0000004,S0000004_A3,Flight,Air India,AI-607,Economy,Evening,6017.0,26.25,622.7,1,95.9,0.88,0.03,0.01,canonical_flights.parquet,flight_AI-607_72494
S0000004,S0000004_A4,Rail,Drnt,12264,Premium Standard Sleeper,Evening,347.94,7.42,535.3,0,17.13,0.65,0.1,0.03,canonical_train_routes.parquet,train_12264_KRLS_SCH
S0000005,S0000005_A1,Flight,Indigo,6E-2373,Economy,Afternoon,10721.0,6.0,1137.1,1,175.11,0.88,0.03,0.01,canonical_flights.parquet,flight_6E-2373_1373
S0000005,S0000005_A2,Rail,Exp,15646,Standard Sleeper,Afternoon,200.82,7.73,386.2,0,12.36,0.4558,0.3748,0.0982,canonical_train_routes.parquet,train_15646_BDI_LTT
S0000006,S0000006_A1,Flight,Air India,AI-732,Economy,Afternoon,5456.0,8.58,1207.2,1,185.91,0.88,0.03,0.01,canonical_flights.parquet,flight_AI-732_146750
S0000006,S0000006_A2,Rail,Drnt,12273,Premium Standard Sleeper,Afternoon,584.54,10.5,899.3,0,28.78,0.65,0.1,0.03,canonical_train_routes.parquet,train_12273_HWH_ASCE
S0000006,S0000006_A3,Rail,SF,12507,Standard Sleeper,Afternoon,196.66,6.7,378.2,0,12.1,0.1038,0.3577,0.0,canonical_train_routes.parquet,train_12507_HWH_HCR
S0000007,S0000007_A1,Flight,Air India,AI-768,Economy,Afternoon,6633.0,17.42,1546.8,1,238.21,0.88,0.03,0.01,canonical_flights.parquet,flight_AI-768_142210
