session_id,traveller_id,origin_city,destination_city,search_date,travel_date,lead_days,departure_window,trip_purpose,party_size
S0000001,T000001,Chennai,Bangalore,2024-03-21,2024-04-11,21,Night,Commute,1
S0000002,T000001,Hyderabad,Chennai,2024-03-03,2024-04-07,35,Night,Commute,1
S0000003,T000001,Delhi,Kolkata,2024-03-26,2024-04-18,23,Early Morning,Commute,1
S0000004,T000001,Mumbai,Hyderabad,2024-03-09,2024-03-25,16,Evening,Business,3
S0000005,T000001,Delhi,Mumbai,2024-03-29,2024-04-30,32,Afternoon,Commute,1
S0000006,T000001,Kolkata,Hyderabad,2024-03-09,2024-04-07,29,Afternoon,Business,1
S0000007,T000001,Kolkata,Bangalore,2024-03-26,2024-03-29,3,Afternoon,Family / Personal,1
S0000008,T000001,Hyderabad,Bangalore,2024-03-07,2024-04-03,27,Night,Commute,1
S0000009,T000002,Delhi,Kolkata,2024-03-22,2024-04-09,18,Afternoon,Leisure,1
S0000010,T000002,Kolkata,Mumbai,2024-03-08,2024-04-06,29,Morning,Leisure,1
S0000011,T000002,Bangalore,Chennai,2024-03-10,2024-04-20,41,Afternoon,Commute,1
S0000012,T000002,Delhi,Kolkata,2024-03-08,2024-04-08,31,Evening,Business,1
S0000013,T000002,Delhi,Hyderabad,2024-03-01,2024-04-09,39,Early Morning,Commute,1
S0000014,T000002,Hyderabad,Bangalore,2024-03-09,2024-03-30,21,Morning,Commute,1
S0000015,T000002,Kolkata,Chennai,2024-03-11,2024-04-25,45,Night,Family / Personal,1
S0000016,T000002,Bangalore,Hyderabad,2024-03-27,2024-05-06,40,Night,Commute,2
S0000017,T000003,Delhi,Hyderabad,2024-03-25,2024-04-16,22,Afternoon,Commute,1
S0000018,T000003,Chennai,Delhi,2024-03-08,2024-04-25,48,Early Morning,Commute,1
S0000019,T000003,Mumbai,Chennai,2024-03-11,2024-04-04,24,Afternoon,Commute,1
S0000020,T000003,Bangalore,Delhi,2024-03-30,2024-04-22,23,Early Morning,Commute,1
S0000021,T000003,Bangalore,Mumbai,2024-03-17,2024-04-24,38,Early Morning,Commute,1
S0000022,T000003,Delhi,Chennai,2024-03-27,2024-04-01,5,Early Morning,Commute,2
S0000023,T000003,Mumbai,Kolkata,2024-03-01,2024-03-24,23,Afternoon,Commute,1
S0000024,T000003,Chennai,Bangalore,2024-03-13,2024-04-05,23,Afternoon,Commute,3
S0000025,T000004,Delhi,Mumbai,2024-03-16,2024-04-29,44,Early Morning,Commute,1
S0000026,T000004,Bangalore,Hyderabad,2024-03-12,2024-04-05,24,Morning,Commute,1
S0000027,T000004,Delhi,Chennai,2024-03-11,2024-04-19,39,Afternoon,Commute,2
S0000028,T000004,Mumbai,Delhi,2024-03-30,2024-04-11,12,Night,Commute,1
S0000029,T000004,Delhi,Kolkata,2024-03-24,2024-04-06,13,Evening,Leisure,1
S0000030,T000004,Delhi,Kolkata,2024-03-27,2024-04-02,6,Evening,Commute,1
S0000031,T000004,Mumbai,Hyderabad,2024-03-07,2024-03-10,3,Morning,Business,1
S0000032,T000004,Mumbai,Bangalore,2024-03-28,2024-04-29,32,Early Morning,Leisure,1
S0000033,T000005,Delhi,Hyderabad,2024-03-11,2024-04-09,29,Afternoon,Commute,1
S0000034,T000005,Delhi,Hyderabad,2024-03-11,2024-04-16,36,Early Morning,Business,1
S0000035,T000005,Delhi,Chennai,2024-03-23,2024-03-29,6,Early Morning,Commute,1
S0000036,T000005,Kolkata,Mumbai,2024-03-16,2024-04-21,36,Afternoon,Commute,1
S0000037,T000005,Mumbai,Hyderabad,2024-03-05,2024-03-13,8,Early Morning,Commute,1
S0000038,T000005,Chennai,Mumbai,2024-03-14,2024-03-15,1,Evening,Commute,1
S0000039,T000005,Delhi,Kolkata,2024-03-01,2024-03-03,2,Morning,Business,1
S0000040,T000005,Mumbai,Hyderabad,2024-03-15,2024-04-17,33,Night,Commute,3
S0000041,T000006,Hyderabad,Mumbai,2024-03-07,2024-04-24,48,Early Morning,Family / Personal,1
S0000042,T000006,Hyderabad,Kolkata,2024-03-28,2024-04-24,27,Morning,Commute,1
S0000043,T000006,Bangalore,Delhi,2024-03-02,2024-03-17,15,Evening,Commute,1
S0000044,T000006,Delhi,Mumbai,2024-03-26,2024-04-12,17,Evening,Commute,1
S0000045,T000006,Mumbai,Chennai,2024-03-23,2024-04-24,32,Night,Leisure,1
S0000046,T000006,Delhi,Bangalore,2024-03-05,2024-03-29,24,Afternoon,Commute,1
S0000047,T000006,Hyderabad,Bangalore,2024-03-24,2024-04-02,9,Night,Commute,1
S0000048,T000006,Chennai,Kolkata,2024-03-13,2024-04-16,34,Night,Commute,1
S0000049,T000007,Hyderabad,Bangalore,2024-03-27,2024-04-27,31,Evening,Commute,2
S0000050,T000007,Mumbai,Bangalore,2024-03-15,2024-04-14,30,Afternoon,Family / Personal,1
S0000051,T000007,Kolkata,Delhi,2024-03-22,2024-04-27,36,Night,Commute,2
S0000052,T000007,Bangalore,Hyderabad,2024-03-24,2024-04-26,33,Morning,Commute,1
S0000053,T000007,Mumbai,Delhi,2024-03-07,2024-04-18,42,Early Morning,Commute,1
S0000054,T000007,Kolkata,Bangalore,2024-03-07,2024-04-22,46,Night,Commute,1
S0000055,T000007,Mumbai,Chennai,2024-03-06,2024-03-16,10,Afternoon,Family / Personal,2
S0000056,T000007,Delhi,Kolkata,2024-03-24,2024-04-01,8,Morning,Commute,1
S0000057,T000008,Hyderabad,Delhi,2024-03-29,2024-04-10,12,Afternoon,Commute,1
S0000058,T000008,Hyderabad,Bangalore,2024-03-21,2024-05-01,41,Afternoon,Family / Personal,1
S0000059,T000008,Kolkata,Chennai,2024-03-18,2024-03-20,2,Evening,Commute,1
S0000060,T000008,Kolkata,Hyderabad,2024-03-28,2024-04-10,13,Night,Commute,1
S0000061,T000008,Mumbai,Bangalore,2024-03-25,2024-04-21,27,Afternoon,Commute,1
S0000062,T000008,Chennai,Kolkata,2024-03-30,2024-05-15,46,Early Morning,Commute,1
S0000063,T000008,Kolkata,Bangalore,2024-03-10,2024-04-05,26,Evening,Leisure,2
S0000064,T000008,Bangalore,Hyderabad,2024-03-22,2024-04-26,35,Afternoon,Commute,1
S0000065,T000009,Bangalore,Kolkata,2024-03-03,2024-03-16,13,Early Morning,Family / Personal,1
S0000066,T000009,Bangalore,Mumbai,2024-03-26,2024-05-12,47,Morning,Business,1
S0000067,T000009,Hyderabad,Mumbai,2024-03-25,2024-03-30,5,Morning,Leisure,1
S0000068,T000009,Kolkata,Mumbai,2024-03-07,2024-03-13,6,Morning,Commute,1
S0000069,T000009,Mumbai,Hyderabad,2024-03-12,2024-04-19,38,Afternoon,Commute,1
S0000070,T000009,Bangalore,Chennai,2024-03-19,2024-04-08,20,Evening,Commute,1
S0000071,T000009,Chennai,Delhi,2024-03-14,2024-05-01,48,Afternoon,Commute,1
S0000072,T000009,Hyderabad,Mumbai,2024-03-16,2024-04-26,41,Early Morning,Commute,1
S0000073,T000010,Hyderabad,Kolkata,2024-03-25,2024-05-04,40,Early Morning,Commute,1
S0000074,T000010,Kolkata,Mumbai,2024-03-21,2024-03-27,6,Evening,Commute,1
S0000075,T000010,Bangalore,Delhi,2024-03-09,2024-04-11,33,Afternoon,Commute,1
S0000076,T000010,Hyderabad,Bangalore,2024-03-22,2024-05-02,41,Early Morning,Commute,2
S0000077,T000010,Delhi,Mumbai,2024-03-09,2024-03-24,15,Night,Commute,1
S0000078,T000010,Mumbai,Bangalore,2024-03-22,2024-05-06,45,Early Morning,Family / Personal,1
S0000079,T000010,Mumbai,Hyderabad,2024-03-17,2024-04-06,20,Evening,Commute,1
