traveller_id,persona_type,cost_sensitivity,time_sensitivity,reliability_sensitivity,comfort_preference,transfer_tolerance,departure_time_flexibility,sustainability_preference
T000001,Cost-Sensitive Commuter,0.7778,0.3397,0.6524,0.5522,0.7267,0.776,0.3599
T000002,Cost-Sensitive Commuter,0.7156,0.2559,0.8463,0.5241,0.9109,0.5242,0.3885
T000003,Cost-Sensitive Commuter,0.7494,0.3206,0.6294,0.7585,0.9471,0.6925,0.534
T000004,Cost-Sensitive Commuter,0.7932,0.5464,0.5554,0.433,0.8516,0.9002,0.7002
T000005,Cost-Sensitive Commuter,0.7689,0.0951,0.7477,0.5632,0.8219,0.6212,0.4906
T000006,Cost-Sensitive Commuter,0.7052,0.2731,0.6536,0.3736,0.7659,0.7456,0.6028
T000007,Cost-Sensitive Commuter,0.7626,0.2685,0.7337,0.5257,0.8048,0.6671,0.6733
T000008,Cost-Sensitive Commuter,0.8865,0.4009,0.5991,0.6206,0.6961,0.7206,0.5621
T000009,Cost-Sensitive Commuter,0.8634,0.2043,0.7402,0.5031,0.7182,0.9352,0.6194
T000010,Cost-Sensitive Commuter,0.7176,0.2676,0.4953,0.5249,0.9149,0.7864,0.3366
T000011,Cost-Sensitive Commuter,0.8461,0.2665,0.6985,0.3819,0.7019,0.6573,0.489
T000012,Cost-Sensitive Commuter,0.7571,0.3355,0.6495,0.366,0.8696,0.7863,0.5139
T000013,Cost-Sensitive Commuter,0.8339,0.2969,0.4585,0.3581,0.8744,0.8617,0.2535
T000014,Cost-Sensitive Commuter,0.8138,0.2391,0.6258,0.7395,0.7444,0.6387,0.3161
T000015,Cost-Sensitive Commuter,0.893,0.4684,0.3894,0.4353,0.8544,0.8283,0.3169
T000016,Cost-Sensitive Commuter,0.7295,0.5303,0.6406,0.4659,0.8576,0.8722,0.2965
T000017,Cost-Sensitive Commuter,0.8832,0.4263,0.6905,0.6115,0.7603,0.7969,0.3186
T000018,Cost-Sensitive Commuter,0.9405,0.5207,0.8511,0.4353,0.9,0.6283,0.4697
T000019,Cost-Sensitive Commuter,0.7769,0.2449,0.5858,0.4377,0.8435,0.6387,0.3175
T000020,Cost-Sensitive Commuter,0.7531,0.428,0.7449,0.4638,0.8354,0.8216,0.3414
T000021,Cost-Sensitive Commuter,0.8771,0.2708,0.5838,0.5066,0.8418,0.6083,0.5298
T000022,Cost-Sensitive Commuter,0.826,0.4517,0.862,0.5991,0.9064,0.9375,0.3495
T000023,Cost-Sensitive Commuter,0.7936,0.3589,0.6658,0.3535,0.7946,0.8831,0.4513
T000024,Cost-Sensitive Commuter,0.9416,0.4005,0.7766,0.7299,0.8384,0.8213,0.3196
T000025,Cost-Sensitive Commuter,0.725,0.2176,0.446,0.5532,0.8583,0.7015,0.3734
T000026,Cost-Sensitive Commuter,0.8491,0.4788,0.5299,0.4164,0.8575,0.7604,0.4037
T000027,Cost-Sensitive Commuter,0.8799,0.4731,0.6582,0.7051,0.594,0.7836,0.4578
T000028,Cost-Sensitive Commuter,0.8279,0.1001,0.556,0.6519,0.8671,0.7494,0.3898
T000029,Cost-Sensitive Commuter,0.8003,0.1503,0.697,0.6456,0.416,0.8872,0.4122
T000030,Cost-Sensitive Commuter,0.6912,0.4143,0.633,0.8294,0.8412,0.6929,0.5696
T000031,Cost-Sensitive Commuter,0.7629,0.297,0.7343,0.6519,0.6838,0.7826,0.4306
T000032,Cost-Sensitive Commuter,0.7373,0.3444,0.6025,0.5387,0.8674,0.7184,0.3722
T000033,Cost-Sensitive Commuter,0.842,0.173,0.6289,0.6301,0.8911,0.7144,0.4152
T000034,Cost-Sensitive Commuter,0.9465,0.3744,0.6211,0.6699,0.8759,0.8265,0.6068
T000035,Cost-Sensitive Commuter,0.6566,0.3992,0.6615,0.2456,0.7848,0.8049,0.4289
T000036,Cost-Sensitive Commuter,0.97,0.4285,0.639,0.2589,0.9289,0.6831,0.4612
T000037,Cost-Sensitive Commuter,0.8552,0.5067,0.7031,0.3542,0.8666,0.789,0.485
T000038,Cost-Sensitive Commuter,0.8797,0.1611,0.4693,0.6058,0.6678,0.9127,0.4476
T000039,Cost-Sensitive Commuter,0.7555,0.3013,0.6242,0.434,0.8313,0.7441,0.547
T000040,Cost-Sensitive Commuter,0.8776,0.3856,0.6445,0.2553,0.7419,0.8408,0.5672
T000041,Cost-Sensitive Commuter,0.5551,0.3806,0.8362,0.4309,0.8419,0.7417,0.6287
T000042,Cost-Sensitive Commuter,0.7856,0.3602,0.7544,0.5207,0.6199,0.8429,0.3106
T000043,Cost-Sensitive Commuter,0.8807,0.2934,0.6206,0.6012,0.8855,0.7733,0.5618
T000044,Cost-Sensitive Commuter,0.9169,0.2854,0.8307,0.3844,0.775,0.9158,0.6701
T000045,Cost-Sensitive Commuter,0.8901,0.2875,0.6792,0.5468,0.5805,0.7427,0.4231
T000046,Cost-Sensitive Commuter,0.9018,0.1813,0.7411,0.5334,0.7927,0.7332,0.4686
T000047,Cost-Sensitive Commuter,0.8334,0.2719,0.7664,0.749,0.8553,0.5857,0.5547
T000048,Cost-Sensitive Commuter,0.5684,0.3381,0.8414,0.5189,0.6759,0.8456,0.4704
T000049,Cost-Sensitive Commuter,0.9072,0.5228,0.6664,0.8912,0.9015,0.5421,0.3702
T000050,Cost-Sensitive Commuter,0.856,0.4751,0.8097,0.4727,0.9555,0.8816,0.503
T000051,Cost-Sensitive Commuter,0.8377,0.5609,0.5483,0.4792,0.8558,0.7897,0.5604
T000052,Cost-Sensitive Commuter,0.8244,0.2424,0.771,0.5929,0.8327,0.805,0.3061
T000053,Cost-Sensitive Commuter,0.6952,0.3295,0.695,0.6841,0.8499,0.6551,0.4043
T000054,Cost-Sensitive Commuter,0.7896,0.5287,0.6933,0.3727,0.8684,0.667,0.5292
T000055,Cost-Sensitive Commuter,0.7672,0.5785,0.5915,0.3793,0.6975,0.6802,0.5321
T000056,Cost-Sensitive Commuter,0.846,0.3417,0.8131,0.5135,0.9674,0.7058,0.5412
T000057,Cost-Sensitive Commuter,0.8316,0.2163,0.727,0.5811,0.857,0.7118,0.2747
T000058,Cost-Sensitive Commuter,0.9439,0.3097,0.6931,0.3159,0.8726,0.8682,0.6439
T000059,Cost-Sensitive Commuter,0.7257,0.3354,0.641,0.5252,0.7897,0.5458,0.4558
T000060,Cost-Sensitive Commuter,0.9596,0.3829,0.7387,0.7205,0.8616,0.895,0.5678
T000061,Cost-Sensitive Commuter,0.5389,0.54,0.5421,0.5165,0.7768,0.7076,0.3105
T000062,Cost-Sensitive Commuter,0.9378,0.3238,0.6737,0.5896,0.8427,0.5615,0.5604
T000063,Cost-Sensitive Commuter,0.9491,0.5399,0.6483,0.8274,0.7666,0.6057,0.3628
T000064,Cost-Sensitive Commuter,0.9284,0.5738,0.5102,0.5719,0.9364,0.6581,0.327
T000065,Cost-Sensitive Commuter,0.9011,0.5215,0.6551,0.6062,0.6745,0.6142,0.2068
T000066,Cost-Sensitive Commuter,0.8591,0.2417,0.7165,0.698,0.7599,0.7847,0.2729
T000067,Cost-Sensitive Commuter,0.8014,0.4624,0.7944,0.5933,0.6604,0.9629,0.4455
T000068,Cost-Sensitive Commuter,0.8372,0.1865,0.6556,0.4785,0.8595,0.7216,0.5345
T000069,Cost-Sensitive Commuter,0.8916,0.2227,0.691,0.6148,0.8429,0.9324,0.2541
T000070,Cost-Sensitive Commuter,0.6742,0.4779,0.7202,0.5425,0.8228,0.7229,0.4518
T000071,Cost-Sensitive Commuter,0.7728,0.2384,0.7611,0.5546,0.8988,0.8836,0.5175
