model_identifier,model_name,feature_config,partition,tn,fp,fn,tp
LR_core,Logistic Regression,Core (Model A),train,65804,3359,23941,4059
LR_core,Logistic Regression,Core (Model A),val,13974,741,5139,861
LR_core,Logistic Regression,Core (Model A),test,14044,681,5132,868
DT_core,Decision Tree,Core (Model A),train,63587,5576,20577,7423
DT_core,Decision Tree,Core (Model A),val,13522,1193,4444,1556
DT_core,Decision Tree,Core (Model A),test,13524,1201,4454,1546
RF_core,Random Forest,Core (Model A),train,65204,3959,21214,6786
RF_core,Random Forest,Core (Model A),val,13721,994,4641,1359
RF_core,Random Forest,Core (Model A),test,13761,964,4681,1319
GB_core,Gradient Boosting,Core (Model A),train,64540,4623,21013,6987
GB_core,Gradient Boosting,Core (Model A),val,13647,1068,4558,1442
GB_core,Gradient Boosting,Core (Model A),test,13665,1060,4591,1409
LR_exte,Logistic Regression,Extended (Model B),train,65825,3338,23956,4044
LR_exte,Logistic Regression,Extended (Model B),val,13973,742,5137,863
LR_exte,Logistic Regression,Extended (Model B),test,14041,684,5129,871
DT_exte,Decision Tree,Extended (Model B),train,63587,5576,20577,7423
DT_exte,Decision Tree,Extended (Model B),val,13522,1193,4444,1556
DT_exte,Decision Tree,Extended (Model B),test,13524,1201,4454,1546
RF_exte,Random Forest,Extended (Model B),train,65313,3850,21319,6681
RF_exte,Random Forest,Extended (Model B),val,13754,961,4679,1321
RF_exte,Random Forest,Extended (Model B),test,13778,947,4698,1302
GB_exte,Gradient Boosting,Extended (Model B),train,64558,4605,21020,6980
GB_exte,Gradient Boosting,Extended (Model B),val,13632,1083,4549,1451
GB_exte,Gradient Boosting,Extended (Model B),test,13677,1048,4577,1423
