model_identifier,model_name,feature_config,threshold,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_tp,val_fp,val_fn,val_tn
RF_core,Random Forest Core,core,0.2,0.5457,0.3732,0.8367,0.5162,0.7081,5020,8430,980,6285
RF_core,Random Forest Core,core,0.25,0.6165,0.41,0.7382,0.5272,0.7081,4429,6373,1571,8342
RF_core,Random Forest Core,core,0.3,0.6685,0.4486,0.631,0.5244,0.7081,3786,4654,2214,10061
RF_core,Random Forest Core,core,0.35,0.6979,0.48,0.5168,0.4978,0.7081,3101,3359,2899,11356
RF_core,Random Forest Core,core,0.4,0.7152,0.5106,0.4072,0.453,0.7081,2443,2342,3557,12373
RF_core,Random Forest Core,core,0.45,0.7279,0.5547,0.3077,0.3958,0.7081,1846,1482,4154,13233
RF_core,Random Forest Core,core,0.5,0.728,0.5776,0.2265,0.3254,0.7081,1359,994,4641,13721
RF_core,Random Forest Core,core,0.55,0.7227,0.6041,0.1238,0.2055,0.7081,743,487,5257,14228
RF_core,Random Forest Core,core,0.6,0.7137,0.6494,0.025,0.0481,0.7081,150,81,5850,14634
GB_core,Gradient Boosting Core,core,0.2,0.5426,0.3712,0.8347,0.5139,0.7089,5008,8483,992,6232
GB_core,Gradient Boosting Core,core,0.25,0.6183,0.4114,0.7375,0.5281,0.7089,4425,6332,1575,8383
GB_core,Gradient Boosting Core,core,0.3,0.6669,0.4476,0.6403,0.5269,0.7089,3842,4742,2158,9973
GB_core,Gradient Boosting Core,core,0.35,0.6991,0.4822,0.5292,0.5046,0.7089,3175,3409,2825,11306
GB_core,Gradient Boosting Core,core,0.4,0.7175,0.5159,0.403,0.4525,0.7089,2418,2269,3582,12446
GB_core,Gradient Boosting Core,core,0.45,0.7276,0.5537,0.3067,0.3947,0.7089,1840,1483,4160,13232
GB_core,Gradient Boosting Core,core,0.5,0.7284,0.5745,0.2403,0.3389,0.7089,1442,1068,4558,13647
GB_core,Gradient Boosting Core,core,0.55,0.7239,0.5881,0.1563,0.247,0.7089,938,657,5062,14058
GB_core,Gradient Boosting Core,core,0.6,0.7163,0.6051,0.059,0.1075,0.7089,354,231,5646,14484
GB_exte,Gradient Boosting Extended,extended,0.2,0.5444,0.372,0.833,0.5144,0.7089,4998,8436,1002,6279
GB_exte,Gradient Boosting Extended,extended,0.25,0.6177,0.4112,0.741,0.5289,0.7089,4446,6366,1554,8349
GB_exte,Gradient Boosting Extended,extended,0.3,0.6656,0.4462,0.6408,0.5261,0.7089,3845,4773,2155,9942
GB_exte,Gradient Boosting Extended,extended,0.35,0.6983,0.4813,0.5342,0.5064,0.7089,3205,3454,2795,11261
GB_exte,Gradient Boosting Extended,extended,0.4,0.7183,0.5178,0.4002,0.4514,0.7089,2401,2236,3599,12479
GB_exte,Gradient Boosting Extended,extended,0.45,0.7283,0.556,0.307,0.3956,0.7089,1842,1471,4158,13244
GB_exte,Gradient Boosting Extended,extended,0.5,0.7281,0.5726,0.2418,0.3401,0.7089,1451,1083,4549,13632
GB_exte,Gradient Boosting Extended,extended,0.55,0.7235,0.5879,0.1517,0.2411,0.7089,910,638,5090,14077
GB_exte,Gradient Boosting Extended,extended,0.6,0.7166,0.6162,0.057,0.1043,0.7089,342,213,5658,14502
