model_name,feature_config,threshold,num_features,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,train_test_auc_gap,role_verdict
Logistic Regression,Core (Model A),0.50,28,0.7161,0.5375,0.1435,0.2265,0.6869,0.7195,0.5604,0.1447,0.2300,0.6820,-0.0003,Weakest Baseline (underfits interaction structure)
Logistic Regression,Extended (Model B),0.50,29,0.7162,0.5377,0.1438,0.2270,0.6869,0.7195,0.5601,0.1452,0.2306,0.6820,-0.0003,Linear baseline with redundant persona
Decision Tree,Core (Model A),0.50,28,0.7217,0.5394,0.2678,0.3579,0.6821,0.7164,0.5208,0.2570,0.3442,0.6700,-0.0631,Tree baseline (moderate overfitting)
Decision Tree,Extended (Model B),0.50,29,0.7211,0.5358,0.2767,0.3649,0.6826,0.7150,0.5154,0.2620,0.3474,0.6689,-0.0656,Tree baseline with redundant persona
Random Forest,Core (Model A),0.50,28,0.7272,0.5742,0.2245,0.3228,0.7086,0.7277,0.5771,0.2227,0.3213,0.6979,-0.0842,Highest baseline raw ROC-AUC (higher train overfit)
Random Forest,Core (Model A),0.25,28,0.6167,0.4105,0.7420,0.5286,0.7086,0.6090,0.4023,0.7220,0.5167,0.6973,-0.0848,Tuned ensemble (high recall but 6400+ FP)
Random Forest,Extended (Model B),0.50,29,0.7278,0.5773,0.2247,0.3235,0.7077,0.7273,0.5759,0.2202,0.3185,0.6972,-0.0835,Ensemble with redundant persona
Gradient Boosting,Core (Model A),0.50,28,0.7284,0.5728,0.2447,0.3429,0.7096,0.7279,0.5712,0.2407,0.3386,0.6971,-0.0240,Strongest Untuned Baseline
Gradient Boosting,Core (Model A),0.30,28,0.6656,0.4466,0.6465,0.5283,0.7091,0.6537,0.4323,0.6265,0.5116,0.6976,-0.0235,FINAL RECOMMENDED CHAMPION
Gradient Boosting,Extended (Model B),0.50,29,0.7287,0.5747,0.2430,0.3416,0.7094,0.7289,0.5761,0.2410,0.3398,0.6976,-0.0234,Extended baseline champion
Gradient Boosting,Extended (Model B),0.30,29,0.6667,0.4478,0.6465,0.5291,0.7092,0.6538,0.4321,0.6237,0.5105,0.6976,-0.0234,Best Threshold-Adjusted Validation Model
